dataset,pr_count,merged_count,merged_ratio,rf_accuracy,svm_accuracy,rf_precision,svm_precision,rf_recall,svm_recall,rf_f1_score,svm_f1_score,rf_roc_auc,svm_roc_auc,best_context_type,best_prompt_type,best_accuracy,best_precision,best_recall,best_f1,bleu_mean,rouge_mean,llm_status
human,1280,301,0.23515625,0.9010416666666666,0.8385416666666666,0.8095238095238095,0.6228070175438597,0.7555555555555555,0.7888888888888889,0.7816091954022989,0.696078431372549,0.9718631897203326,0.9153817082388512,1,zero,0.2622377622377622,0.2615923009623797,1.0,0.4147018030513175,0.0005813728041096375,0.009168479134987962,llm_quota_exhausted
ai,220,131,0.5954545454545455,0.9090909090909092,0.8787878787878788,0.8837209302325582,0.8604651162790697,0.9743589743589745,0.9487179487179488,0.926829268292683,0.902439024390244,0.9558404558404558,0.9202279202279202,1,cot,,,,,0.0002165352945113,0.0033290935488101,llm_quota_exhausted
