repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
microsoft/vscode,323896,11,137,35,59,344,4,1,True,0,388,1,230,179,1.6788321167883211,1.3065693430656935,True
microsoft/vscode,323892,1,7,5,150,160,3,1,True,0,228,1,13,10,1.8571428571428568,1.4285714285714286,True
microsoft/vscode,323889,1,2,0,103,415,1,1,True,0,456,0,3,2,1.5,1.0,False
microsoft/vscode,323887,4,34,103,86,344,3,1,True,0,388,2,68,51,2.0,1.5,True
microsoft/vscode,323886,1,1,1,195,633,2,1,True,0,682,0,1,1,1.0,1.0,False
microsoft/vscode,323882,4,42,109,92,344,2,1,True,0,436,0,139,89,3.3095238095238093,2.119047619047619,True
microsoft/vscode,323875,1,1,0,11,351,1,1,True,0,362,0,1,1,1.0,1.0,False
microsoft/vscode,323852,6,57,25,137,344,3,1,True,0,420,3,97,75,1.7017543859649122,1.3157894736842106,True
microsoft/vscode,323847,2,11,3,101,54,2,1,True,0,113,1,25,18,2.272727272727273,1.6363636363636365,True
microsoft/vscode,323831,2,14,2,39,647,1,1,True,0,686,0,25,19,1.7857142857142858,1.3571428571428572,False
microsoft/vscode,323816,30,1,165,15,344,0,0,False,0,358,0,2945,2945,2945.0,2945.0,False
microsoft/vscode,323803,2,44,2,84,351,5,1,True,1,404,2,81,59,1.8409090909090908,1.3409090909090908,True
microsoft/vscode,323792,6,169,169,33,122,3,1,True,0,155,0,169,169,1.0,1.0,True
microsoft/vscode,323788,1,87,0,61,0,3,1,True,0,46,0,73,64,0.8390804597701149,0.735632183908046,True
microsoft/vscode,323787,2,23,1,82,55,2,1,True,0,137,1,43,32,1.8695652173913044,1.391304347826087,True
microsoft/vscode,323784,2,184,78,1132,13246,3,1,True,2,13296,0,184,184,1.0,1.0,True
microsoft/vscode,323782,7,224,40,90,510,2,1,True,0,584,6,329,265,1.46875,1.1830357142857142,True
microsoft/vscode,323778,1,24,7,74,55,2,1,True,0,129,1,47,34,1.9583333333333333,1.4166666666666667,True
microsoft/vscode,323776,2,46,1,116,420,0,0,False,0,461,0,54,48,1.173913043478261,1.0434782608695652,False
microsoft/vscode,323767,9,26,18,862,1680,1,1,True,1,1751,0,58,50,1.3488372093023255,1.162790697674419,False
microsoft/vscode,323759,22,290,49,198,403,2,1,True,0,436,1,393,328,1.3551724137931034,1.1310344827586207,True
microsoft/vscode,323757,6,169,181,64,286,1,1,True,0,317,0,169,169,1.0,1.0,False
microsoft/vscode,323737,1,11,5,78,207,2,1,True,0,248,1,21,16,1.9090909090909087,1.4545454545454546,True
microsoft/vscode,323735,4,27,14,137,344,3,1,True,0,389,0,49,37,1.8148148148148149,1.3703703703703705,True
microsoft/vscode,323729,5,41,9,82,288,3,1,True,0,317,3,71,55,1.7317073170731707,1.3414634146341464,True
microsoft/vscode,323724,3,14,7,92,55,2,1,True,0,108,1,26,20,1.8571428571428568,1.4285714285714286,True
microsoft/vscode,323720,1,4,4,150,169,2,1,True,0,202,0,4,4,1.0,1.0,True
microsoft/vscode,323719,9,48,94,53,344,2,1,True,0,397,0,64,53,1.3333333333333333,1.1041666666666667,True
microsoft/vscode,323718,2,14,0,186,981,2,1,True,0,1046,0,13,13,0.9285714285714286,0.9285714285714286,True
microsoft/vscode,323714,1,3,0,70,887,2,2,True,1,957,1,3,3,1.0,1.0,False
microsoft/vscode,323713,6,15,15,33,344,2,1,True,0,377,0,27,21,1.8,1.4,True
microsoft/vscode,323702,2,2,2,69,137,2,1,True,0,188,0,2,2,1.0,1.0,True
microsoft/vscode,323694,1,6,0,136,1204,0,0,False,0,1259,0,10,8,1.6666666666666667,1.3333333333333333,False
microsoft/vscode,323692,1,3,8,148,2220,0,0,False,0,2307,1,7,5,2.333333333333333,1.6666666666666667,False
microsoft/vscode,323688,1,3,3,62,390,3,1,True,1,434,0,15,9,5.0,3.0,True
microsoft/vscode,323684,1,3,3,30,344,2,1,True,0,374,0,15,9,5.0,3.0,True
microsoft/vscode,323677,1,56,39,179,414,2,1,True,0,509,3,132,91,2.357142857142857,1.625,True
microsoft/vscode,323673,30,4940,10,2133,351,1,1,True,0,360,9,22872,21106,1.5454054054054054,1.4260810810810811,False
microsoft/vscode,323672,3,3,3,132,293,1,1,True,0,327,0,7,5,2.333333333333333,1.6666666666666667,False
microsoft/vscode,323671,1,13,2,94,344,2,1,True,0,417,0,20,15,1.5384615384615383,1.1538461538461535,True
microsoft/vscode,323670,1,2,2,193,0,4,1,True,0,58,0,2,2,1.0,1.0,False
microsoft/vscode,323669,1,1,1,38,37,5,1,True,1,75,0,3,2,3.0,2.0,True
microsoft/vscode,323665,1,4,0,18,436,2,1,True,0,454,0,3,3,0.75,0.75,True
microsoft/vscode,323663,1,2,3,61,232,2,2,True,1,293,0,80,59,1.818181818181818,1.3409090909090908,False
microsoft/vscode,323655,3,50,1,55,569,2,1,True,1,624,0,71,59,1.42,1.18,False
microsoft/vscode,323650,3,605,34,380,1941,1,4,True,0,1995,17,1111,810,1.8363636363636364,1.3388429752066116,False
microsoft/vscode,323649,1,6,0,49,118,2,1,True,2,167,0,9,7,1.5,1.1666666666666667,True
microsoft/vscode,323646,2,169,11,48,815,1,1,True,0,863,0,184,176,1.0887573964497042,1.0414201183431953,False
microsoft/vscode,323638,9,315,80,107,396,2,1,True,0,446,9,484,387,1.5365079365079366,1.2285714285714286,True
microsoft/vscode,323637,1,40,6,49,55,2,1,True,0,96,0,79,58,1.975,1.45,True
microsoft/vscode,323631,2,11,22,59,344,2,1,True,0,403,0,14,11,1.2727272727272727,1.0,True
microsoft/vscode,323627,1,2,2,61,0,3,1,True,1,64,0,2,2,1.0,1.0,True
